Order_ID,Order_Date,Region,Product,Category,Quantity,Unit_Price,Discount,Sales,Profit
ORD1022,2025-03-06 05:38:49.411764706,Mumbai,Laptop,Electronics,7,65000,0.0,455000.0,78785.63
ORD1023,2025-03-09 07:03:31.764705882,Hyderabad,Mouse,Accessories,6,900,0.0,5400.0,820.75
ORD1024,2025-03-12 08:28:14.117647059,Mumbai,Monitor,Electronics,7,18000,0.05,119700.0,21144.82
ORD1025,2025-03-15 09:52:56.470588235,Mumbai,Printer,Office Equipment,3,12000,0.1,32400.0,5764.19
ORD1026,2025-03-18 11:17:38.823529412,Pune,Headphones,Accessories,1,2500,0.0,2500.0,510.95
ORD1027,2025-03-21 12:42:21.176470588,Delhi,Mouse,Accessories,7,900,0.0,6300.0,640.76
ORD1028,2025-03-24 14:07:03.529411765,Mumbai,Laptop,Electronics,7,65000,0.1,409500.0,50164.9
ORD1029,2025-03-27 15:31:45.882352941,Bengaluru,Laptop,Electronics,2,65000,0.0,130000.0,23230.02
ORD1030,2025-03-30 16:56:28.235294118,Delhi,Keyboard,Accessories,2,1800,0.05,3420.0,777.74
ORD1031,2025-04-02 18:21:10.588235294,Hyderabad,Keyboard,Accessories,4,1800,0.1,6480.0,1137.35
ORD1032,2025-04-05 19:45:52.941176471,Pune,Monitor,Electronics,5,18000,0.05,85500.0,10308.01
ORD1033,2025-04-08 21:10:35.294117647,Hyderabad,Mouse,Accessories,3,900,0.05,2565.0,501.65
ORD1034,2025-04-11 22:35:17.647058823,Delhi,Mouse,Accessories,7,900,0.0,6300.0,1296.44
ORD1035,2025-04-15 00:00:00.000000000,Delhi,Printer,Office Equipment,7,12000,0.05,79800.0,9615.91
ORD1036,2025-04-18 01:24:42.352941176,Delhi,Printer,Office Equipment,1,12000,0.05,11400.0,1644.04
ORD1037,2025-04-21 02:49:24.705882352,Hyderabad,Printer,Office Equipment,4,12000,0.0,48000.0,8200.11
ORD1038,2025-04-24 04:14:07.058823530,Delhi,Keyboard,Accessories,5,1800,0.0,9000.0,1479.74
ORD1039,2025-04-27 05:38:49.411764706,Hyderabad,Mouse,Accessories,4,900,0.15,3060.0,447.48
ORD1040,2025-04-30 07:03:31.764705882,Delhi,Mouse,Accessories,6,900,0.05,5130.0,669.97
ORD1041,2025-05-03 08:28:14.117647058,Bengaluru,Laptop,Electronics,5,65000,0.0,325000.0,31524.17
ORD1042,2025-05-06 09:52:56.470588236,Delhi,Keyboard,Accessories,7,1800,0.15,10710.0,954.18
ORD1043,2025-05-09 11:17:38.823529412,Hyderabad,Headphones,Accessories,7,2500,0.15,14875.0,3613.91
ORD1044,2025-05-12 12:42:21.176470588,Mumbai,Keyboard,Accessories,5,1800,0.05,8550.0,1915.32
ORD1045,2025-05-15 14:07:03.529411764,Delhi,Headphones,Accessories,7,2500,0.1,15750.0,2210.26
ORD1046,2025-05-18 15:31:45.882352942,Mumbai,Laptop,Electronics,3,65000,0.0,195000.0,47317.95
ORD1047,2025-05-21 16:56:28.235294118,Bengaluru,Monitor,Electronics,5,18000,0.0,90000.0,17554.58
ORD1048,2025-05-24 18:21:10.588235294,Pune,Mouse,Accessories,4,900,0.05,3420.0,554.14
ORD1049,2025-05-27 19:45:52.941176470,Bengaluru,Laptop,Electronics,5,65000,0.1,292500.0,47915.7
ORD1050,2025-05-30 21:10:35.294117646,Delhi,Mouse,Accessories,7,900,0.1,5670.0,533.88
ORD1051,2025-06-02 22:35:17.647058824,Mumbai,Printer,Office Equipment,3,12000,0.0,36000.0,3441.23
ORD1052,2025-06-06 00:00:00.000000000,Mumbai,Monitor,Electronics,3,18000,0.1,48600.0,8865.37
ORD1053,2025-06-09 01:24:42.352941176,Hyderabad,Monitor,Electronics,6,18000,0.1,97200.0,16925.39
ORD1054,2025-06-12 02:49:24.705882352,Mumbai,Laptop,Electronics,4,65000,0.1,234000.0,27182.32
ORD1055,2025-06-15 04:14:07.058823530,Hyderabad,Monitor,Electronics,2,18000,0.1,32400.0,7803.64
ORD1056,2025-06-18 05:38:49.411764706,Pune,Headphones,Accessories,2,2500,0.05,4750.0,1010.9
ORD1057,2025-06-21 07:03:31.764705882,Delhi,Monitor,Electronics,5,18000,0.05,85500.0,8489.21
ORD1058,2025-06-24 08:28:14.117647058,Hyderabad,Mouse,Accessories,6,900,0.0,5400.0,1286.59
ORD1059,2025-06-27 09:52:56.470588236,Pune,Mouse,Accessories,1,900,0.1,810.0,198.95
ORD1060,2025-06-30 11:17:38.823529412,Mumbai,Mouse,Accessories,5,900,0.15,3825.0,953.6
ORD1061,2025-07-03 12:42:21.176470588,Mumbai,Mouse,Accessories,6,900,0.0,5400.0,483.29
ORD1062,2025-07-06 14:07:03.529411764,Pune,Headphones,Accessories,4,2500,0.0,10000.0,2052.96
ORD1063,2025-07-09 15:31:45.882352942,Mumbai,Keyboard,Accessories,4,1800,0.05,6840.0,1181.99
ORD1064,2025-07-12 16:56:28.235294118,Pune,Printer,Office Equipment,4,12000,0.0,48000.0,9599.58
ORD1065,2025-07-15 18:21:10.588235294,Hyderabad,Laptop,Electronics,4,65000,0.15,221000.0,54072.25
ORD1066,2025-07-18 19:45:52.941176470,Hyderabad,Mouse,Accessories,4,900,0.0,3600.0,709.07
ORD1067,2025-07-21 21:10:35.294117646,Pune,Monitor,Electronics,6,18000,0.0,108000.0,24006.66
ORD1068,2025-07-24 22:35:17.647058824,Hyderabad,Mouse,Accessories,6,900,0.05,5130.0,1166.4
ORD1069,2025-07-28 00:00:00.000000000,Hyderabad,Monitor,Electronics,3,18000,0.0,54000.0,12017.25
ORD1070,2025-07-31 01:24:42.352941176,Hyderabad,Printer,Office Equipment,2,12000,0.0,24000.0,3658.45
ORD1071,2025-08-03 02:49:24.705882352,Bengaluru,Printer,Office Equipment,7,12000,0.05,79800.0,9403.47
ORD1072,2025-08-06 04:14:07.058823528,Delhi,Printer,Office Equipment,4,12000,0.05,45600.0,6722.84
ORD1073,2025-08-09 05:38:49.411764704,Mumbai,Monitor,Electronics,1,18000,0.0,18000.0,4169.2
ORD1074,2025-08-12 07:03:31.764705884,Bengaluru,Mouse,Accessories,7,900,0.05,5985.0,627.96
ORD1075,2025-08-15 08:28:14.117647060,Hyderabad,Printer,Office Equipment,6,12000,0.05,68400.0,11440.96
ORD1076,2025-08-18 09:52:56.470588236,Pune,Headphones,Accessories,1,2500,0.05,2375.0,284.17
ORD1077,2025-08-21 11:17:38.823529412,Hyderabad,Monitor,Electronics,1,18000,0.0,18000.0,3218.79
ORD1078,2025-08-24 12:42:21.176470588,Delhi,Monitor,Electronics,1,18000,0.05,17100.0,3877.14
ORD1079,2025-08-27 14:07:03.529411764,Hyderabad,Mouse,Accessories,3,900,0.15,2295.0,527.07
ORD1080,2025-08-30 15:31:45.882352940,Pune,Monitor,Electronics,6,18000,0.05,102600.0,12336.26
ORD1081,2025-09-02 16:56:28.235294116,Delhi,Monitor,Electronics,1,18000,0.1,16200.0,3795.79
ORD1082,2025-09-05 18:21:10.588235292,Hyderabad,Printer,Office Equipment,4,12000,0.0,48000.0,8669.81
ORD1083,2025-09-08 19:45:52.941176472,Delhi,Mouse,Accessories,5,900,0.0,4500.0,627.92
ORD1084,2025-09-11 21:10:35.294117648,Mumbai,Printer,Office Equipment,1,12000,0.05,11400.0,2284.46
ORD1085,2025-09-14 22:35:17.647058824,Mumbai,Printer,Office Equipment,3,12000,0.05,34200.0,5536.41
ORD1086,2025-09-18 00:00:00.000000000,Hyderabad,Mouse,Accessories,7,900,0.1,5670.0,817.94
ORD1087,2025-09-21 01:24:42.352941176,Delhi,Laptop,Electronics,6,65000,0.0,390000.0,77947.09
ORD1088,2025-09-24 02:49:24.705882352,Pune,Printer,Office Equipment,3,12000,0.05,34200.0,4182.08
ORD1089,2025-09-27 04:14:07.058823528,Hyderabad,Headphones,Accessories,1,2500,0.05,2375.0,323.34
ORD1090,2025-09-30 05:38:49.411764704,Mumbai,Headphones,Accessories,6,2500,0.1,13500.0,2077.07
ORD1091,2025-10-03 07:03:31.764705884,Mumbai,Monitor,Electronics,5,18000,0.0,90000.0,11081.34
ORD1092,2025-10-06 08:28:14.117647060,Hyderabad,Headphones,Accessories,1,2500,0.15,2125.0,316.38
ORD1093,2025-10-09 09:52:56.470588236,Delhi,Monitor,Electronics,3,18000,0.05,51300.0,9087.82
ORD1094,2025-10-12 11:17:38.823529412,Mumbai,Laptop,Electronics,2,65000,0.0,130000.0,26775.52
ORD1095,2025-10-15 12:42:21.176470588,Delhi,Mouse,Accessories,4,900,0.1,3240.0,681.77
ORD1096,2025-10-18 14:07:03.529411764,Mumbai,Mouse,Accessories,7,900,0.05,5985.0,1315.95
ORD1097,2025-10-21 15:31:45.882352940,Mumbai,Mouse,Accessories,3,900,0.15,2295.0,473.95
ORD1098,2025-10-24 16:56:28.235294116,Bengaluru,Headphones,Accessories,6,2500,0.0,15000.0,2936.65
ORD1099,2025-10-27 18:21:10.588235292,Mumbai,Laptop,Electronics,1,65000,0.05,61750.0,7433.22
ORD1100,2025-10-30 19:45:52.941176472,Pune,Headphones,Accessories,4,2500,0.05,9500.0,1406.36
ORD1101,2025-11-02 21:10:35.294117648,Hyderabad,Headphones,Accessories,1,2500,0.15,2125.0,342.57
ORD1102,2025-11-05 22:35:17.647058824,Hyderabad,Laptop,Electronics,6,65000,0.0,390000.0,36695.69
ORD1103,2025-11-09 00:00:00.000000000,Delhi,Laptop,Electronics,1,65000,0.0,65000.0,11038.49
ORD1104,2025-11-12 01:24:42.352941176,Mumbai,Laptop,Electronics,2,65000,0.0,130000.0,20043.02
ORD1105,2025-11-15 02:49:24.705882352,Pune,Laptop,Electronics,4,65000,0.0,260000.0,56253.23
ORD1106,2025-11-18 04:14:07.058823528,Delhi,Mouse,Accessories,4,900,0.05,3420.0,842.15
ORD1107,2025-11-21 05:38:49.411764704,Bengaluru,Keyboard,Accessories,6,1800,0.0,10800.0,1884.83
ORD1108,2025-11-24 07:03:31.764705884,Delhi,Keyboard,Accessories,7,1800,0.0,12600.0,1699.19
ORD1109,2025-11-27 08:28:14.117647060,Delhi,Laptop,Electronics,2,65000,0.1,117000.0,10223.24
ORD1110,2025-11-30 09:52:56.470588236,Mumbai,Keyboard,Accessories,3,1800,0.1,4860.0,1152.74
ORD1111,2025-12-03 11:17:38.823529412,Bengaluru,Keyboard,Accessories,1,1800,0.0,1800.0,425.25
ORD1112,2025-12-06 12:42:21.176470588,Delhi,Laptop,Electronics,5,65000,0.0,325000.0,39977.71
ORD1113,2025-12-09 14:07:03.529411764,Pune,Keyboard,Accessories,1,1800,0.05,1710.0,338.96
ORD1114,2025-12-12 15:31:45.882352940,Pune,Headphones,Accessories,1,2500,0.0,2500.0,232.06
ORD1115,2025-12-15 16:56:28.235294116,Hyderabad,Monitor,Electronics,3,18000,0.0,54000.0,5845.86
ORD1116,2025-12-18 18:21:10.588235292,Bengaluru,Monitor,Electronics,1,18000,0.0,18000.0,2103.44
ORD1117,2025-12-21 19:45:52.941176472,Bengaluru,Laptop,Electronics,2,65000,0.0,130000.0,16908.32
ORD1118,2025-12-24 21:10:35.294117648,Hyderabad,Mouse,Accessories,2,900,0.1,1620.0,403.85
ORD1119,2025-12-27 22:35:17.647058824,Delhi,Laptop,Electronics,4,65000,0.0,260000.0,51604.09
ORD1120,2025-12-31 00:00:00.000000000,Bengaluru,Mouse,Accessories,6,900,0.05,5130.0,745.46
